PCAP Date,LP Short Name,Field Num,Field, Amount 
6/30/2021,Indiana,1,Beginning Capital Balance,0
6/30/2021,Indiana,2,Capital Calls,"82,539,202"
6/30/2021,Indiana,4,Distributions,0
6/30/2021,Indiana,7,Interest Income,"2,463,363"
6/30/2021,Indiana,8,Realized Gain / (Loss),0
6/30/2021,Indiana,9,Unrealized Gain / (Loss),0
6/30/2021,Indiana,10,Investment Expenses,"-51,739"
6/30/2021,Indiana,11,Management Fees,"-189,018"
6/30/2021,Indiana,12,Carried Interest,"-328,154"
6/30/2021,Indiana,15,Fund Expenses,"-34,916"
6/30/2021,Indiana,16,Ending Capital Balance,"84,398,739"
9/30/2021,Indiana,1,Beginning Capital Balance,"84,398,739"
9/30/2021,Indiana,2,Capital Calls,"29,960,798"
9/30/2021,Indiana,4,Distributions,"-1,859,537"
9/30/2021,Indiana,7,Interest Income,"4,092,997"
9/30/2021,Indiana,8,Realized Gain / (Loss),0
9/30/2021,Indiana,9,Unrealized Gain / (Loss),0
9/30/2021,Indiana,10,Investment Expenses,"-106,009"
9/30/2021,Indiana,11,Management Fees,"-350,803"
9/30/2021,Indiana,12,Carried Interest,"-531,403"
9/30/2021,Indiana,15,Fund Expenses,"-93,501"
9/30/2021,Indiana,16,Ending Capital Balance,"115,511,281"
12/31/2021,Indiana,1,Beginning Capital Balance,"115,511,281"
12/31/2021,Indiana,2,Capital Calls,"37,500,000"
12/31/2021,Indiana,4,Distributions,"-3,011,281"
12/31/2021,Indiana,7,Interest Income,"5,166,602"
12/31/2021,Indiana,8,Realized Gain / (Loss),0
12/31/2021,Indiana,9,Unrealized Gain / (Loss),0
12/31/2021,Indiana,10,Investment Expenses,"-97,864"
12/31/2021,Indiana,11,Management Fees,"-541,713"
12/31/2021,Indiana,12,Carried Interest,"-670,790"
12/31/2021,Indiana,15,Fund Expenses,"-55,095"
12/31/2021,Indiana,16,Ending Capital Balance,"153,801,141"
3/31/2022,Indiana,1,Beginning Capital Balance,"153,801,141"
3/31/2022,Indiana,2,Capital Calls,0
3/31/2022,Indiana,4,Distributions,"-37,880,179"
3/31/2022,Indiana,7,Interest Income,"9,182,412"
3/31/2022,Indiana,8,Realized Gain / (Loss),0
3/31/2022,Indiana,9,Unrealized Gain / (Loss),0
